ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010136427;"aiguille ; épingle ; fil";;"-1550 / -1150  (Bronze récent)";"AO 11701";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010136434;vase;;"-1550 / -1100  (Mycénien)";"AO 11708";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136435;vase;;"-1550 / -1100  (Mycénien)";"AO 11709";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136459;"sceau cylindre";;"-1700 / -1550  (Bronze moyen III)";"AO 11732";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137809;faucille;;;"AO 13111";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010137865;vase;;;"AO 13144";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137877;vase;;;"AO 13155";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137883;figurine;;;"AO 13161";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137893;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 13170";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 18 Glyptique";
cl010139566;"anneau ; bracelet";;;"AO 14728";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139573;épingle;;"-3300 / -1150  (Bronze)";"AO 14734; RS 444";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139582;hameçon;;"-1550 / -1150  (Bronze récent)";"AO 14743; RS 3.381";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010139584;"anneau ; boucle d'oreille = pendant d'oreille";;"-3300 / -1150  (Bronze)";"AO 14745; RS 3.391";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139599;hache;;"-1550 / -1150  (Bronze récent)";"AO 14760";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010139609;poignard;;"-3300 / -1150  (Bronze)";"AO 14770; RS ?.463";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139613;bracelet;;"-3300 / -1150  (Bronze)";"AO 14774";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139633;modèle;;"-1550 / -1150  (Bronze récent)";"AO 14799; AO 27590";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139637;vase;;;"AO 14865";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139639;vase;;;"AO 14867";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139640;vase;;;"AO 14868";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139651;vase;;;"AO 14879";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139656;vase;;;"AO 14883; RS 3.498";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139680;"scarabée ; cachet";;"-1700 / -1550  (Bronze moyen III [?])";"AO 14819; RS 3.483";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139689;bulle;;;"AO 14828";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139695;moule;;;"AO 14836; RS 3.460";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139698;vase;;;"AO 14839; RS 328; RS 3.28";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010139722;vase;;;"AO 14892; RS 508";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139733;vase;;;"AO 14902";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139765;vase;;;"AO 14916";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139768;"scarabée ; cachet";;"-2100 / -1550  (Bronze moyen)";"AO 14920";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139774;vase;;;"AO 14931";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139777;vase;;;"AO 14934";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139778;vase;;;"AO 14935";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139784;vase;;;"AO 14940";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140492;hache;;;"AO 15714";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010140534;lingot;;;"AO 15768; RS 4463";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140535;"perle ; pendeloque";;"-1550 / -1150  (Bronze récent)";"AO 15769; RS 4.462";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140903;vase;;;"AO 16101";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140906;vase;;"-3300 / -1150  (Bronze)";"AO 16104";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141982;hache;;"-3300 / -1150  (Bronze)";"AO 17212; RS 5.253";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141985;"outil ; ustensile domestique";;;"AO 17215; RS 5.116";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010141990;hache;;;"AO 17220; RS 5.069";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
